,Date,Open,High,Low,Close,Adj Close,Volume
957,2018-09-27,31.860001,32.630001,31.389999,32.59,32.59,87934400
958,2018-09-28,32.240002000000004,32.779999,29.98,30.889999,30.889999,165453500
959,2018-10-01,30.690001000000002,31.91,30.25,31.42,31.42,94742900
960,2018-10-02,30.73,30.82,28.65,29.02,29.02,145276500
961,2018-10-03,29.040001,29.219998999999998,26.540001,28.43,28.43,190137200
962,2018-10-04,27.99,28.83,27.370001000000002,27.780001000000002,27.780001000000002,95831200
963,2018-10-05,28.07,28.469998999999998,26.93,27.35,27.35,88008500
964,2018-10-08,26.73,27.540001,25.959999,26.459999,26.459999,103789500
965,2018-10-09,26.15,27.709999,26.0,27.24,27.24,105461800
966,2018-10-10,27.379998999999998,27.4,24.91,25.0,25.0,147682900
967,2018-10-11,24.74,26.200001,24.549999,25.299999,25.299999,147013800
968,2018-10-12,26.77,26.969998999999998,25.67,26.34,26.34,111059400
969,2018-10-15,26.379998999999998,26.77,25.75,26.26,26.26,70523500
970,2018-10-16,26.629998999999998,28.23,26.17,28.18,28.18,92529000
971,2018-10-17,28.41,28.530001000000002,26.92,27.299999,27.299999,89466900
972,2018-10-18,27.08,27.75,26.4,26.620001000000002,26.620001000000002,79623700
973,2018-10-19,27.030001000000002,27.1,23.6,23.66,23.66,130799900
974,2018-10-22,24.459999,25.639999,24.09,25.030001000000002,25.030001000000002,114158900
975,2018-10-23,24.18,25.26,23.85,25.09,25.09,101763000
976,2018-10-24,25.040001,25.1,22.75,22.790001,22.790001,134489100
977,2018-10-25,17.92,20.15,17.719998999999998,19.27,19.27,189173700
978,2018-10-26,18.49,18.780001000000002,17.049999,17.629998999999998,17.629998999999998,119689000
979,2018-10-29,18.209999,18.23,16.27,16.85,16.85,94479600
980,2018-10-30,16.379998999999998,17.24,16.17,17.200001,17.200001,99049400
981,2018-10-31,17.870001000000002,18.34,17.120001000000002,18.209999,18.209999,110463700
982,2018-11-01,18.41,20.33,18.08,20.219998999999998,20.219998999999998,136896500
983,2018-11-02,20.59,21.059998999999998,19.469998999999998,20.23,20.23,123788000
984,2018-11-05,20.120001000000002,20.18,18.879998999999998,19.9,19.9,108016700
985,2018-11-06,19.5,21.65,19.48,20.68,20.68,144995700
986,2018-11-07,21.42,22.219998999999998,21.07,21.84,21.84,121115800
987,2018-11-08,21.77,22.08,20.969998999999998,21.200001,21.200001,92387600
988,2018-11-09,20.77,21.190001000000002,20.110001,21.030001000000002,21.030001000000002,85900700
989,2018-11-12,20.68,20.85,18.799999,19.030001000000002,19.030001000000002,95948200
990,2018-11-13,19.280001000000002,20.02,18.969998999999998,19.610001,19.610001,76126000
991,2018-11-14,20.18,21.110001,19.76,20.809998999999998,20.809998999999998,106344300
992,2018-11-15,20.719998999999998,21.77,20.42,21.49,21.49,97715500
993,2018-11-16,19.870001000000002,20.969998999999998,19.719998999999998,20.66,20.66,112376600
994,2018-11-19,20.4,20.59,19.09,19.110001,19.110001,93578200
995,2018-11-20,17.4,19.58,17.18,19.209999,19.209999,109869400
996,2018-11-21,20.049999,20.309998999999998,18.5,18.73,18.73,81585600
997,2018-11-23,18.610001,19.83,18.559998999999998,19.379998999999998,19.379998999999998,54611300
998,2018-11-26,19.959999,20.190001000000002,19.110001,20.08,20.08,83211000
999,2018-11-27,19.77,21.450001,19.73,21.049999,21.049999,119230100
1000,2018-11-28,21.82,21.879998999999998,20.18,21.34,21.34,134425300
1001,2018-11-29,21.190001000000002,21.610001,20.73,21.43,21.43,79853700
1002,2018-11-30,21.299999,21.360001,20.52,21.299999,21.299999,82370700
1003,2018-12-03,22.48,23.75,22.370001000000002,23.709999,23.709999,139607400
1004,2018-12-04,23.35,23.42,21.07,21.120001000000002,21.120001000000002,127392900
1005,2018-12-06,20.219998999999998,21.41,20.059998999999998,21.299999,21.299999,103434700
1006,2018-12-07,21.299999,21.379998999999998,19.17,19.459999,19.459999,105764500
1007,2018-12-10,19.35,20.129998999999998,19.27,19.99,19.99,77984500
1008,2018-12-11,20.709999,21.139999,19.690001000000002,19.98,19.98,88027400
